length,deleting,Class
724,0.0003,Vector
724,0.0001,Set
726,0.0003,Vector
726,0.0001,Set
728,0.0003,Vector
728,0.0001,Set
730,0.0004,Vector
730,0.0001,Set
732,0.0003,Vector
732,0.0001,Set
734,0.0004,Vector
734,0.0001,Set
736,0.0004,Vector
736,0.0001,Set
738,0.0003,Vector
738,0.0001,Set
740,0.0003,Vector
740,0.0001,Set
742,0.0003,Vector
742,0.0002,Set
744,0.0003,Vector
744,0.0002,Set
746,0.0003,Vector
746,0.0001,Set
748,0.0003,Vector
748,0.0001,Set
750,0.0003,Vector
750,0.0001,Set
752,0.0003,Vector
752,0.0001,Set
754,0.0003,Vector
754,0.0001,Set
756,0.0003,Vector
756,0.0001,Set
758,0.0004,Vector
758,0.0002,Set
760,0.0004,Vector
760,0.0001,Set
762,0.0004,Vector
762,0.0001,Set
764,0.0004,Vector
764,0.0001,Set
766,0.0003,Vector
766,0.0001,Set
768,0.0003,Vector
768,0.0001,Set
770,0.0003,Vector
770,0.0001,Set
772,0.0003,Vector
772,0.0001,Set
774,0.0004,Vector
774,0.0001,Set
776,0.0003,Vector
776,0.0001,Set
778,0.0003,Vector
778,0.0001,Set
780,0.0003,Vector
780,0.0001,Set
782,0.0003,Vector
782,0.0001,Set
784,0.0003,Vector
784,0.0001,Set
786,0.0003,Vector
786,0.0001,Set
788,0.0003,Vector
788,0.0001,Set
790,0.0004,Vector
790,0.0001,Set
792,0.0003,Vector
792,0.0001,Set
794,0.0004,Vector
794,0.0001,Set
796,0.0003,Vector
796,0.0001,Set
798,0.0003,Vector
798,0.0001,Set
800,0.0004,Vector
800,0.0001,Set
802,0.0004,Vector
802,0.0001,Set
804,0.0004,Vector
804,0.0001,Set
806,0.0003,Vector
806,0.0001,Set
808,0.0003,Vector
808,0.0001,Set
810,0.0003,Vector
810,0.0001,Set
812,0.0004,Vector
812,0.0001,Set
814,0.0004,Vector
814,0.0001,Set
816,0.0003,Vector
816,0.0001,Set
818,0.0004,Vector
818,0.0002,Set
820,0.0003,Vector
820,0.0001,Set
822,0.0003,Vector
822,0.0001,Set
824,0.0003,Vector
824,0.0001,Set
826,0.0004,Vector
826,0.0001,Set
828,0.0004,Vector
828,0.0001,Set
830,0.0003,Vector
830,0.0001,Set
832,0.0004,Vector
832,0.0001,Set
834,0.0003,Vector
834,0.0001,Set
836,0.0003,Vector
836,0.0001,Set
838,0.0004,Vector
838,0.0001,Set
840,0.0003,Vector
840,0.0001,Set
842,0.0003,Vector
842,0.0001,Set
844,0.0004,Vector
844,0.0001,Set
846,0.0004,Vector
846,0.0001,Set
848,0.0004,Vector
848,0.0001,Set
850,0.0004,Vector
850,0.0001,Set
852,0.0003,Vector
852,0.0001,Set
854,0.0004,Vector
854,0.0001,Set
856,0.0004,Vector
856,0.0001,Set
858,0.0003,Vector
858,0.0001,Set
860,0.0004,Vector
860,0.0001,Set
862,0.0003,Vector
862,0.0001,Set
864,0.0004,Vector
864,0.0001,Set
866,0.0004,Vector
866,0.0001,Set
868,0.0003,Vector
868,0.0001,Set
870,0.0003,Vector
870,0.0001,Set
872,0.0004,Vector
872,0.0001,Set
874,0.0004,Vector
874,0.0001,Set
876,0.0004,Vector
876,0.0001,Set
878,0.0004,Vector
878,0.0001,Set
880,0.0004,Vector
880,0.0001,Set
882,0.0004,Vector
882,0.0001,Set
884,0.0003,Vector
884,0.0001,Set
886,0.0004,Vector
886,0.0001,Set
888,0.0004,Vector
888,0.0001,Set
890,0.0003,Vector
890,0.0001,Set
892,0.0004,Vector
892,0.0001,Set
894,0.0004,Vector
894,0.0001,Set
896,0.0003,Vector
896,0.0001,Set
898,0.0004,Vector
898,0.0001,Set
900,0.0004,Vector
900,0.0001,Set
902,0.0004,Vector
902,0.0001,Set
904,0.0004,Vector
904,0.0001,Set
906,0.0004,Vector
906,0.0001,Set
908,0.0004,Vector
908,0.0001,Set
910,0.0004,Vector
910,0.0001,Set
912,0.0004,Vector
912,0.0001,Set
914,0.0004,Vector
914,0.0001,Set
916,0.0003,Vector
916,0.0001,Set
918,0.0004,Vector
918,0.0001,Set
920,0.0004,Vector
920,0.0001,Set
922,0.0004,Vector
922,0.0001,Set
924,0.0004,Vector
924,0.0001,Set
926,0.0004,Vector
926,0.0001,Set
928,0.0004,Vector
928,0.0001,Set
930,0.0003,Vector
930,0.0001,Set
932,0.0004,Vector
932,0.0001,Set
934,0.0004,Vector
934,0.0001,Set
936,0.0004,Vector
936,0.0001,Set
938,0.0004,Vector
938,0.0001,Set
940,0.0004,Vector
940,0.0001,Set
942,0.0003,Vector
942,0.0001,Set
944,0.0004,Vector
944,0.0002,Set
946,0.0004,Vector
946,0.0001,Set
948,0.0004,Vector
948,0.0002,Set
950,0.0004,Vector
950,0.0001,Set
952,0.0003,Vector
952,0.0001,Set
954,0.0004,Vector
954,0.0001,Set
956,0.0004,Vector
956,0.0001,Set
958,0.0004,Vector
958,0.0001,Set
960,0.0004,Vector
960,0.0001,Set
962,0.0003,Vector
962,0.0001,Set
964,0.0004,Vector
964,0.0002,Set
966,0.0004,Vector
966,0.0001,Set
968,0.0004,Vector
968,0.0001,Set
970,0.0005,Vector
970,0.0001,Set
972,0.0004,Vector
972,0.0001,Set
974,0.0004,Vector
974,0.0001,Set
976,0.0004,Vector
976,0.0001,Set
978,0.0004,Vector
978,0.0001,Set
980,0.0004,Vector
980,0.0001,Set
982,0.0005,Vector
982,0.0001,Set
984,0.0004,Vector
984,0.0001,Set
986,0.0004,Vector
986,0.0001,Set
988,0.0004,Vector
988,0.0001,Set
990,0.0004,Vector
990,0.0001,Set
992,0.0004,Vector
992,0.0002,Set
994,0.0005,Vector
994,0.0001,Set
996,0.0004,Vector
996,0.0001,Set
998,0.0004,Vector
998,0.0001,Set
1000,0.0004,Vector
1000,0.0001,Set
1002,0.0005,Vector
1002,0.0002,Set
1004,0.0004,Vector
1004,0.0001,Set
1006,0.0004,Vector
1006,0.0001,Set
1008,0.0004,Vector
1008,0.0001,Set
1010,0.0004,Vector
1010,0.0001,Set
1012,0.0004,Vector
1012,0.0001,Set
1014,0.0005,Vector
1014,0.0002,Set
1016,0.0005,Vector
1016,0.0001,Set
1018,0.0004,Vector
1018,0.0001,Set
1020,0.0004,Vector
1020,0.0001,Set
1022,0.0004,Vector
